"info","commentary","response"
 umar gul to smith 1 no ball , gets another no ball from gul first up apart from that it was a good delivery yorker that smith just jabbed a bat down in time on ,1
 umar gul to smith no run, this is better in the sense that it was a legal delivery but worse in terms of line giving smith an early chance to leave alone outside off,0
 umar gul to smith no run, this was a touch wide again but not as wide as guls smile after he saw this bend away late big reverse swing which might keep things interesting ,0
 umar gul to smith no run, gets the line right perhaps its a touch too short though and smith gets behind a solid defence ,0
 umar gul to smith no run, well judged by smith who looks confident enough leaving alone,0
 umar gul to smith 1 run , smith is away working this to midwicket and scampering through for a single,0
 danish kaneria to smith out , and kaneria wins the battle straight away! pitched in line it was a topspinner that squeezed between bat and pad stuck in front but replays show smith got a faint inside edge so hes unlucky. big wicket that! ,-1
 mohammad asif to smith (no ball) 1 run, legstump halfvolley to starty and its flicked down to fine leg. and asif has also overstepped in his enthusiasm so thats a noball ,1
 umar gul to smith no run, on a length just shaping away a touch and smith defends to off from the crease ,0
 umar gul to smith no run, short outside offstump smith has a huge swing at the ball but cant get anything on it. that really took off after pitching. gul walks down after his followthrough to have a word in his ear ,0
 umar gul to smith 2 runs, much fuller this time a halfvolley outside off and smith drives through the covers in his peculiar style the left leg pointing towards midon,1
 umar gul to smith no run, a touch of cut back in off the wicket and smith stays at the crease to defend back to the bowler ,1
 umar gul to smith 1 run , just short of a good length and angling towards leg stump smith hops back and nudges just wide of midon,0
 mohammad asif to smith 1 run, full and wobbling away a touch through the air the ball is tapped to midwicket for a quick single,1
 umar gul to smith no run, on a length and coming in to the righthander after pitching. smith defends back to the bowler who threatens to throw the stumps down and gives him a good eyeballing ,0
 umar gul to smith 1 run , short on off stump smith flaps wildly and they pick up a single as the ball rolls to midwicket ,0
 mohammad asif to smith 1 run, short on middle and off pulled out to midwicket but not out of the middle of the bat ,1
 umar gul to smith no run, on a length outside off left alone by smith,0
 umar gul to smith no run, aimed at the stumps this time and defended back down the track ,1
 umar gul to smith no run, pushed defensively to cover off the back foot ,0
 umar gul to smith no run, yorker on off stump and well dug out by smith,0
 umar gul to smith 1 run , nudged off the hip behind square on the leg side,0
 danish kaneria to smith four runs , savagely swept by smith! confidence first ball getting down on one knee and slammed behind square leg. he hit that really hard but rolled his wrists over it to keep the ball down,1
 danish kaneria to smith out , but this time hes gone! the bowling change does the trick! kaneria floated one up on middle and off and the ball just hurried on straight after pitching striking the front pad and then the bat. huge appeal from the bowler straight away who was convinced and the umpire agrees. thats a good decision wouldve hit middle stump three inches from the top ,-1
 umar amin to smith no run , and he follows that up by spearing the ball well down the leg side! again some smart work from kamran behind the stumps who had to change direction and leap across to leg to make a tumbling save there ,0
 mohammad amir to smith no run , smith in trouble first ball! aamer is finding really sharp movement back in here and smith is saved by an inside edge as the ball cannons into his back pad. what a spell. that could have had him bowled or lbw if not for that thin edge,-1
 mohammad amir to smith no run , slippery yorker! well dug out by smith,0
 mohammad amir to smith 1 run, solid defensive push to cover and smith calls paine through to get off the mark with a scrambled single,0
 danish kaneria to smith four runs , well thats interesting! smith bends down into a premeditated sweep to smash the ball through square leg! ,1
 danish kaneria to smith four runs , smith is fighting back here and you wouldnt think this is the last over before lunch! this time he skips down the track and whips wristily through midon ,1
 danish kaneria to smith 1 run , just a touch too short and smith taps towards midon who was deep after that last shot ,1
 mohammad amir to smith out, done him first ball! thats a beauty from aamer snaking back through bat and ball to smash into middle stump! smith was angling through midwicket but the ball simply wasnt there ,1
 mohammad asif to smith 1 leg bye, full length spearing into the toes a squeaked appeal but that was angling down leg ,-1
 danish kaneria to smith no run, tossed up low fulltoss in fact. patted back to the bowler,0
 danish kaneria to smith no run, looped up down the legside misdirected,0
 danish kaneria to smith no run, smith advances to defend two feet out of his crease. confidently done ,0
 danish kaneria to smith 2 runs, a whirl of the arms and a click through midwicket. finds the gap for two. every run counts from here,1
 danish kaneria to smith 1 run , tapped to cover a crazy call and if azhar ali had picked that up cleanly that could well have been curtains! but he didnt and it wasnt ...,1
 mohammad asif to smith no run , dabbed out to point ,0
 mohammad asif to smith no run , big stride forward and defended out to cover,0
 mohammad asif to smith no run , swing through the air and left alone outside off. anxious times for the aussies,0
 mohammad asif to smith no run , back of a length but perfect offstump line. driven on the up without power to cover,0
 mohammad asif to smith no run , forward and defended again. every balls a hand grenade,0
 mohammad asif to smith no run , well watched forward and deadbatted defence to complete the maiden ,0
 danish kaneria to smith no run, ,0
