Skill,Name,Proficiency
Programming languages,C,10
Programming languages,Python,9
Programming languages,R,8
Programming languages,MySQL,8
Programming languages,Matlab,7
Programming languages,Web developement,7
Data & Analaysis,Statistical Analysis,10
Data & Analaysis,Web scraping,10
Data & Analaysis,Natural language processing,8
Data & Analaysis,Unsupervised learning,8
Data & Analaysis,Generalized linear models,7
Data & Analaysis,Deep Learning,5
Knowledge & Interests,"Evolution, genetics & genomics",9
Knowledge & Interests,Epidemiology & infectious disease,9
Knowledge & Interests,Ecology & conservation,9
Knowledge & Interests,Global & public health,8
Knowledge & Interests,Human biology,7
Knowledge & Interests,Politics & history,6
Knowledge & Interests,Cultural anthropology,5
